[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.317 7.62779e-05 25.7443 269956 403.131
0.318 7.62709e-05 25.7467 269956 403.131
0.319 7.62638e-05 25.749 269956 403.131
0.32 7.62568e-05 25.7514 269956 403.131
0.321 7.62497e-05 25.7538 269955 403.131
0.322 7.62427e-05 25.7562 269955 403.131
0.323 7.62356e-05 25.7586 269955 403.131
0.324 7.62286e-05 25.761 269955 403.131
0.325 7.62216e-05 25.7634 269955 403.131
0.326 7.62145e-05 25.7658 269955 403.131
0.327 7.62075e-05 25.7682 269955 403.131
0.328 7.62004e-05 25.7705 269954 403.131
0.329 7.61934e-05 25.7729 269954 403.13
0.33 7.61864e-05 25.7753 269954 403.13
0.331 7.61793e-05 25.7777 269954 403.13
0.332 7.61723e-05 25.7801 269954 403.13
0.333 7.61652e-05 25.7825 269954 403.13
0.334 7.61582e-05 25.7849 269954 403.13
0.335 7.61512e-05 25.7873 269953 403.13
0.336 7.61441e-05 25.7897 269953 403.13
0.337 7.61371e-05 25.7921 269953 403.13
0.338 7.61301e-05 25.7945 269953 403.13
0.339 7.6123e-05 25.7969 269953 403.13
0.34 7.6116e-05 25.7992 269953 403.13
0.341 7.6109e-05 25.8016 269952 403.13
0.342 7.61019e-05 25.804 269952 403.13
0.343 7.60949e-05 25.8064 269952 403.13
0.344 7.60879e-05 25.8088 269952 403.13
0.345 7.60809e-05 25.8112 269952 403.129
0.346 7.60738e-05 25.8136 269952 403.129
0.347 7.60668e-05 25.816 269952 403.129
0.348 7.60598e-05 25.8184 269951 403.129
0.349 7.60527e-05 25.8208 269951 403.129
0.35 7.60457e-05 25.8232 269951 403.129
0.351 7.60387e-05 25.8256 269951 403.129
0.352 7.60317e-05 25.828 269951 403.129
0.353 7.60246e-05 25.8304 269951 403.129
0.354 7.60176e-05 25.8328 269951 403.129
0.355 7.60106e-05 25.8352 269950 403.129
0.356 7.60036e-05 25.8376 269950 403.129
0.357 7.59965e-05 25.84 269950 403.129
0.358 7.59895e-05 25.8424 269950 403.129
0.359 7.59825e-05 25.8448 269950 403.129
0.36 7.59755e-05 25.8472 269950 403.129
0.361 7.59684e-05 25.8496 269950 403.129
0.362 7.59614e-05 25.852 269949 403.128
0.363 7.59544e-05 25.8544 269949 403.128
0.364 7.59474e-05 25.8568 269949 403.128
0.365 7.59404e-05 25.8592 269949 403.128
0.366 7.59333e-05 25.8616 269949 403.128
0.367 7.59263e-05 25.864 269949 403.128
0.368 7.59193e-05 25.8664 269949 403.128
0.369 7.59123e-05 25.8688 269948 403.128
0.37 7.59053e-05 25.8712 269948 403.128
0.371 7.58983e-05 25.8736 269948 403.128
0.372 7.58912e-05 25.876 269948 403.128
0.373 7.58842e-05 25.8784 269948 403.128
0.374 7.58772e-05 25.8808 269948 403.128
0.375 7.58702e-05 25.8832 269948 403.128
0.376 7.58632e-05 25.8856 269947 403.128
0.377 7.58562e-05 25.888 269947 403.128
0.378 7.58492e-05 25.8904 269947 403.127
0.379 7.58422e-05 25.8928 269947 403.127
0.38 7.58351e-05 25.8952 269947 403.127
0.381 7.58281e-05 25.8976 269947 403.127
0.382 7.58211e-05 25.9 269947 403.127
0.383 7.58141e-05 25.9024 269946 403.127
0.384 7.58071e-05 25.9048 269946 403.127
0.385 7.58001e-05 25.9072 269946 403.127
0.386 7.57931e-05 25.9096 269946 403.127
0.387 7.57861e-05 25.912 269946 403.127
0.388 7.57791e-05 25.9144 269946 403.127
0.389 7.57721e-05 25.9168 269946 403.127
0.39 7.57651e-05 25.9192 269945 403.127
0.391 7.57581e-05 25.9216 269945 403.127
0.392 7.57511e-05 25.924 269945 403.127
0.393 7.57441e-05 25.9265 269945 403.127
0.394 7.57371e-05 25.9289 269945 403.126
0.395 7.57301e-05 25.9313 269945 403.126
0.396 7.57231e-05 25.9337 269945 403.126
0.397 7.57161e-05 25.9361 269944 403.126
0.398 7.57091e-05 25.9385 269944 403.126
0.399 7.57021e-05 25.9409 269944 403.126
0.4 7.56951e-05 25.9433 269944 403.126
0.401 7.56881e-05 25.9457 269944 403.126
0.402 7.56811e-05 25.9481 269944 403.126
0.403 7.56741e-05 25.9505 269944 403.126
0.404 7.56671e-05 25.9529 269943 403.126
0.405 7.56601e-05 25.9554 269943 403.126
0.406 7.56531e-05 25.9578 269943 403.126
0.407 7.56461e-05 25.9602 269943 403.126
0.408 7.56391e-05 25.9626 269943 403.126
0.409 7.56321e-05 25.965 269943 403.126
0.41 7.56251e-05 25.9674 269942 403.125
0.411 7.56181e-05 25.9698 269942 403.125
0.412 7.56111e-05 25.9722 269942 403.125
0.413 7.56041e-05 25.9746 269942 403.125
0.414 7.55971e-05 25.977 269942 403.125
0.415 7.55901e-05 25.9795 269942 403.125
0.416 7.55831e-05 25.9819 269942 403.125
0.417 7.55762e-05 25.9843 269941 403.125
0.418 7.55692e-05 25.9867 269941 403.125
0.419 7.55622e-05 25.9891 269941 403.125
0.42 7.55552e-05 25.9915 269941 403.125
0.421 7.55482e-05 25.9939 269941 403.125
0.422 7.55412e-05 25.9964 269941 403.125
0.423 7.55342e-05 25.9988 269941 403.125
0.424 7.55272e-05 26.0012 269940 403.125
0.425 7.55203e-05 26.0036 269940 403.125
0.426 7.55133e-05 26.006 269940 403.124
0.427 7.55063e-05 26.0084 269940 403.124
0.428 7.54993e-05 26.0108 269940 403.124
0.429 7.54923e-05 26.0133 269940 403.124
0.43 7.54853e-05 26.0157 269940 403.124
0.431 7.54784e-05 26.0181 269939 403.124
0.432 7.54714e-05 26.0205 269939 403.124
0.433 7.54644e-05 26.0229 269939 403.124
0.434 7.54574e-05 26.0253 269939 403.124
0.435 7.54504e-05 26.0278 269939 403.124
0.436 7.54435e-05 26.0302 269939 403.124
0.437 7.54365e-05 26.0326 269939 403.124
0.438 7.54295e-05 26.035 269938 403.124
0.439 7.54225e-05 26.0374 269938 403.124
0.44 7.54155e-05 26.0399 269938 403.124
0.441 7.54086e-05 26.0423 269938 403.124
0.442 7.54016e-05 26.0447 269938 403.123
0.443 7.53946e-05 26.0471 269938 403.123
0.444 7.53876e-05 26.0495 269938 403.123
0.445 7.53807e-05 26.052 269937 403.123
