x:6.86866, V:127.556, Pressure:258784, iteration:1, T:403.066, f_new:997.798, dfdT:2215.84
x:6.86923, V:127.672, Pressure:258763, iteration:1, T:403.065, f_new:997.793, dfdT:2215.81
x:6.8698, V:127.787, Pressure:258742, iteration:1, T:403.064, f_new:997.788, dfdT:2215.78
x:6.87037, V:127.902, Pressure:258721, iteration:1, T:403.063, f_new:997.786, dfdT:2215.75
x:6.87094, V:128.017, Pressure:258700, iteration:1, T:403.062, f_new:997.784, dfdT:2215.72
x:6.87151, V:128.133, Pressure:258679, iteration:1, T:403.061, f_new:997.785, dfdT:2215.69
x:6.87208, V:128.248, Pressure:258657, iteration:1, T:403.06, f_new:997.787, dfdT:2215.66
x:6.87265, V:128.363, Pressure:258636, iteration:1, T:403.059, f_new:997.79, dfdT:2215.63
x:6.87322, V:128.478, Pressure:258615, iteration:1, T:403.058, f_new:997.796, dfdT:2215.6
x:6.87379, V:128.594, Pressure:258594, iteration:1, T:403.057, f_new:997.802, dfdT:2215.56
x:6.87436, V:128.708, Pressure:258573, iteration:1, T:403.056, f_new:997.791, dfdT:2215.53
x:6.87493, V:128.823, Pressure:258552, iteration:1, T:403.055, f_new:997.801, dfdT:2215.5
x:6.87549, V:128.937, Pressure:258531, iteration:1, T:403.054, f_new:997.793, dfdT:2215.47
x:6.87606, V:129.051, Pressure:258510, iteration:1, T:403.053, f_new:997.787, dfdT:2215.44
x:6.87663, V:129.166, Pressure:258488, iteration:1, T:403.052, f_new:997.801, dfdT:2215.41
x:6.87719, V:129.281, Pressure:258467, iteration:1, T:403.051, f_new:997.798, dfdT:2215.38
x:6.87776, V:129.395, Pressure:258446, iteration:1, T:403.05, f_new:997.796, dfdT:2215.35
x:6.87832, V:129.509, Pressure:258425, iteration:1, T:403.049, f_new:997.796, dfdT:2215.32
x:6.87889, V:129.623, Pressure:258404, iteration:1, T:403.048, f_new:997.798, dfdT:2215.29
x:6.87945, V:129.737, Pressure:258383, iteration:1, T:403.047, f_new:997.801, dfdT:2215.26
x:6.88001, V:129.85, Pressure:258362, iteration:1, T:403.046, f_new:997.786, dfdT:2215.23
x:6.88058, V:129.964, Pressure:258341, iteration:1, T:403.045, f_new:997.792, dfdT:2215.19
x:6.88114, V:130.078, Pressure:258319, iteration:1, T:403.044, f_new:997.8, dfdT:2215.16
x:6.8817, V:130.191, Pressure:258298, iteration:1, T:403.043, f_new:997.789, dfdT:2215.13
x:6.88227, V:130.305, Pressure:258277, iteration:1, T:403.042, f_new:997.8, dfdT:2215.1
x:6.88283, V:130.418, Pressure:258256, iteration:1, T:403.041, f_new:997.793, dfdT:2215.07
x:6.88339, V:130.531, Pressure:258235, iteration:1, T:403.04, f_new:997.788, dfdT:2215.04
x:6.88395, V:130.645, Pressure:258214, iteration:1, T:403.039, f_new:997.803, dfdT:2215.01
x:6.88451, V:130.758, Pressure:258193, iteration:1, T:403.038, f_new:997.801, dfdT:2214.98
x:6.88507, V:130.871, Pressure:258172, iteration:1, T:403.037, f_new:997.8, dfdT:2214.95
x:6.88563, V:130.984, Pressure:258150, iteration:1, T:403.036, f_new:997.801, dfdT:2214.92
x:6.88619, V:131.097, Pressure:258129, iteration:1, T:403.035, f_new:997.803, dfdT:2214.89
x:6.88675, V:131.209, Pressure:258108, iteration:1, T:403.034, f_new:997.788, dfdT:2214.85
x:6.88731, V:131.322, Pressure:258087, iteration:1, T:403.033, f_new:997.793, dfdT:2214.82
x:6.88787, V:131.435, Pressure:258066, iteration:1, T:403.032, f_new:997.8, dfdT:2214.79
x:6.88842, V:131.547, Pressure:258045, iteration:1, T:403.031, f_new:997.789, dfdT:2214.76
x:6.88898, V:131.66, Pressure:258024, iteration:1, T:403.03, f_new:997.8, dfdT:2214.73
x:6.88954, V:131.772, Pressure:258003, iteration:1, T:403.029, f_new:997.792, dfdT:2214.7
x:6.89009, V:131.884, Pressure:257982, iteration:1, T:403.028, f_new:997.786, dfdT:2214.67
x:6.89065, V:131.997, Pressure:257960, iteration:1, T:403.027, f_new:997.801, dfdT:2214.64
x:6.89121, V:132.109, Pressure:257939, iteration:1, T:403.026, f_new:997.798, dfdT:2214.61
x:6.89176, V:132.221, Pressure:257918, iteration:1, T:403.025, f_new:997.796, dfdT:2214.58
x:6.89232, V:132.333, Pressure:257897, iteration:1, T:403.024, f_new:997.796, dfdT:2214.55
x:6.89287, V:132.445, Pressure:257876, iteration:1, T:403.023, f_new:997.798, dfdT:2214.52
x:6.89343, V:132.556, Pressure:257855, iteration:1, T:403.022, f_new:997.801, dfdT:2214.48
x:6.89398, V:132.667, Pressure:257834, iteration:1, T:403.021, f_new:997.786, dfdT:2214.45
x:6.89453, V:132.779, Pressure:257813, iteration:1, T:403.02, f_new:997.793, dfdT:2214.42
x:6.89509, V:132.891, Pressure:257791, iteration:1, T:403.019, f_new:997.801, dfdT:2214.39
x:6.89564, V:133.002, Pressure:257770, iteration:1, T:403.018, f_new:997.79, dfdT:2214.36
x:6.89619, V:133.114, Pressure:257749, iteration:1, T:403.017, f_new:997.802, dfdT:2214.33
x:6.89674, V:133.225, Pressure:257728, iteration:1, T:403.016, f_new:997.794, dfdT:2214.3
x:6.89729, V:133.336, Pressure:257707, iteration:1, T:403.015, f_new:997.789, dfdT:2214.27
x:6.89785, V:133.447, Pressure:257686, iteration:1, T:403.014, f_new:997.805, dfdT:2214.24
x:6.8984, V:133.558, Pressure:257665, iteration:1, T:403.013, f_new:997.802, dfdT:2214.21
x:6.89895, V:133.669, Pressure:257644, iteration:1, T:403.012, f_new:997.802, dfdT:2214.18
x:6.8995, V:133.78, Pressure:257622, iteration:1, T:403.011, f_new:997.802, dfdT:2214.15
x:6.90005, V:133.891, Pressure:257601, iteration:1, T:403.01, f_new:997.805, dfdT:2214.11
x:6.90059, V:134.001, Pressure:257580, iteration:1, T:403.009, f_new:997.789, dfdT:2214.08
x:6.90114, V:134.111, Pressure:257559, iteration:1, T:403.008, f_new:997.794, dfdT:2214.05
x:6.90169, V:134.222, Pressure:257538, iteration:1, T:403.007, f_new:997.802, dfdT:2214.02
x:6.90224, V:134.332, Pressure:257517, iteration:1, T:403.006, f_new:997.79, dfdT:2213.99
x:6.90279, V:134.443, Pressure:257496, iteration:1, T:403.005, f_new:997.801, dfdT:2213.96
x:6.90333, V:134.553, Pressure:257475, iteration:1, T:403.004, f_new:997.792, dfdT:2213.93
x:6.90388, V:134.664, Pressure:257453, iteration:1, T:403.003, f_new:997.806, dfdT:2213.9
x:6.90443, V:134.773, Pressure:257432, iteration:1, T:403.002, f_new:997.801, dfdT:2213.87
x:6.90497, V:134.883, Pressure:257411, iteration:1, T:403.001, f_new:997.798, dfdT:2213.84
x:6.90552, V:134.993, Pressure:257390, iteration:1, T:403, f_new:997.796, dfdT:2213.81
x:6.90606, V:135.103, Pressure:257369, iteration:1, T:402.999, f_new:997.796, dfdT:2213.78
x:6.90661, V:135.213, Pressure:257348, iteration:1, T:402.998, f_new:997.797, dfdT:2213.75
x:6.90715, V:135.322, Pressure:257327, iteration:1, T:402.997, f_new:997.8, dfdT:2213.71
x:6.9077, V:135.432, Pressure:257306, iteration:1, T:402.996, f_new:997.804, dfdT:2213.68
x:6.90824, V:135.541, Pressure:257285, iteration:1, T:402.995, f_new:997.79, dfdT:2213.65
