[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
5.342 7.74181e-05 31.0754 269979 403.15
5.343 7.74115e-05 31.0781 269979 403.15
5.344 7.74049e-05 31.0807 269979 403.15
5.345 7.73982e-05 31.0834 269979 403.15
5.346 7.73915e-05 31.0861 269979 403.15
5.347 7.73848e-05 31.0888 269979 403.15
5.348 7.73781e-05 31.0915 269979 403.15
5.349 7.73714e-05 31.0942 269979 403.15
5.35 7.73646e-05 31.097 269978 403.15
5.351 7.73578e-05 31.0997 269978 403.15
5.352 7.73511e-05 31.1025 269978 403.15
5.353 7.73442e-05 31.1052 269978 403.15
5.354 7.73374e-05 31.108 269978 403.15
5.355 7.73305e-05 31.1107 269978 403.15
5.356 7.73237e-05 31.1135 269978 403.15
5.357 7.73168e-05 31.1163 269978 403.15
5.358 7.73098e-05 31.1191 269977 403.15
5.359 7.73029e-05 31.1219 269977 403.15
5.36 7.72959e-05 31.1247 269977 403.15
5.361 7.7289e-05 31.1275 269977 403.15
5.362 7.7282e-05 31.1304 269977 403.15
5.363 7.7275e-05 31.1332 269977 403.15
5.364 7.72679e-05 31.1361 269977 403.15
5.365 7.72609e-05 31.1389 269976 403.15
5.366 7.72538e-05 31.1418 269976 403.15
5.367 7.72467e-05 31.1446 269976 403.15
5.368 7.72396e-05 31.1475 269976 403.15
5.369 7.72324e-05 31.1504 269976 403.15
5.37 7.72253e-05 31.1533 269976 403.15
5.371 7.72181e-05 31.1562 269976 403.15
5.372 7.72109e-05 31.1591 269976 403.15
5.373 7.72037e-05 31.1621 269975 403.15
5.374 7.71964e-05 31.165 269975 403.15
5.375 7.71892e-05 31.1679 269975 403.15
5.376 7.71819e-05 31.1709 269975 403.15
5.377 7.71746e-05 31.1739 269975 403.15
5.378 7.71673e-05 31.1768 269975 403.15
5.379 7.71599e-05 31.1798 269975 403.15
5.38 7.71526e-05 31.1828 269974 403.15
5.381 7.71452e-05 31.1858 269974 403.15
5.382 7.71378e-05 31.1888 269974 403.15
5.383 7.71304e-05 31.1918 269974 403.15
5.384 7.71229e-05 31.1948 269974 403.15
5.385 7.71155e-05 31.1978 269974 403.15
5.386 7.7108e-05 31.2009 269974 403.15
5.387 7.71005e-05 31.2039 269973 403.15
5.388 7.7093e-05 31.207 269973 403.15
5.389 7.70854e-05 31.2101 269973 403.15
5.39 7.70779e-05 31.2131 269973 403.15
5.391 7.70703e-05 31.2162 269973 403.15
5.392 7.70627e-05 31.2193 269973 403.15
5.393 7.70551e-05 31.2224 269973 403.15
5.394 7.70474e-05 31.2255 269972 403.15
5.395 7.70398e-05 31.2286 269972 403.15
5.396 7.70321e-05 31.2318 269972 403.15
5.397 7.70244e-05 31.2349 269972 403.15
5.398 7.70167e-05 31.238 269972 403.15
5.399 7.70089e-05 31.2412 269972 403.15
5.4 7.70012e-05 31.2444 269972 403.15
5.401 7.69934e-05 31.2475 269971 403.15
5.402 7.69856e-05 31.2507 269971 403.15
5.403 7.69778e-05 31.2539 269971 403.15
5.404 7.69699e-05 31.2571 269971 403.15
5.405 7.69621e-05 31.2603 269971 403.15
5.406 7.69542e-05 31.2635 269971 403.15
5.407 7.69463e-05 31.2667 269971 403.15
5.408 7.69383e-05 31.27 269970 403.15
5.409 7.69304e-05 31.2732 269970 403.15
5.41 7.69224e-05 31.2765 269970 403.15
5.411 7.69144e-05 31.2797 269970 403.15
5.412 7.69064e-05 31.283 269970 403.15
5.413 7.68984e-05 31.2863 269970 403.15
5.414 7.68904e-05 31.2896 269969 403.15
5.415 7.68823e-05 31.2929 269969 403.15
5.416 7.68742e-05 31.2962 269969 403.15
5.417 7.68661e-05 31.2995 269969 403.15
5.418 7.6858e-05 31.3028 269969 403.15
5.419 7.68498e-05 31.3061 269969 403.15
5.42 7.68417e-05 31.3095 269969 403.15
5.421 7.68335e-05 31.3128 269968 403.15
5.422 7.68253e-05 31.3162 269968 403.15
5.423 7.6817e-05 31.3196 269968 403.15
5.424 7.68088e-05 31.3229 269968 403.15
5.425 7.68005e-05 31.3263 269968 403.15
5.426 7.67922e-05 31.3297 269968 403.15
5.427 7.67839e-05 31.3331 269967 403.15
5.428 7.67756e-05 31.3365 269967 403.15
5.429 7.67672e-05 31.34 269967 403.15
5.43 7.67588e-05 31.3434 269967 403.15
5.431 7.67504e-05 31.3468 269967 403.15
5.432 7.6742e-05 31.3503 269967 403.15
5.433 7.67336e-05 31.3537 269966 403.15
5.434 7.67251e-05 31.3572 269966 403.15
5.435 7.67167e-05 31.3607 269966 403.15
5.436 7.67082e-05 31.3642 269966 403.15
5.437 7.66997e-05 31.3677 269966 403.15
5.438 7.66911e-05 31.3712 269966 403.15
5.439 7.66826e-05 31.3747 269965 403.15
5.44 7.6674e-05 31.3782 269965 403.15
5.441 7.66654e-05 31.3818 269965 403.15
5.442 7.66568e-05 31.3853 269965 403.15
5.443 7.66481e-05 31.3889 269965 403.15
5.444 7.66395e-05 31.3924 269965 403.15
5.445 7.66308e-05 31.396 269964 403.15
5.446 7.66221e-05 31.3996 269964 403.15
5.447 7.66134e-05 31.4032 269964 403.15
5.448 7.66046e-05 31.4068 269964 403.15
5.449 7.65958e-05 31.4104 269964 403.15
5.45 7.65871e-05 31.414 269964 403.15
5.451 7.65783e-05 31.4176 269963 403.15
5.452 7.65694e-05 31.4212 269963 403.15
5.453 7.65606e-05 31.4249 269963 403.15
5.454 7.65517e-05 31.4285 269963 403.15
5.455 7.65428e-05 31.4322 269963 403.15
5.456 7.65339e-05 31.4359 269963 403.15
5.457 7.6525e-05 31.4396 269962 403.15
5.458 7.65161e-05 31.4433 269962 403.15
5.459 7.65071e-05 31.447 269962 403.15
5.46 7.64981e-05 31.4507 269962 403.15
5.461 7.64891e-05 31.4544 269962 403.15
5.462 7.648e-05 31.4581 269962 403.15
5.463 7.6471e-05 31.4619 269961 403.15
5.464 7.64619e-05 31.4656 269961 403.15
5.465 7.64528e-05 31.4694 269961 403.15
5.466 7.64437e-05 31.4731 269961 403.15
5.467 7.64346e-05 31.4769 269961 403.15
5.468 7.64254e-05 31.4807 269960 403.15
5.469 7.64162e-05 31.4845 269960 403.15
5.47 7.64071e-05 31.4883 269960 403.15
5.471 7.63978e-05 31.4921 269960 403.15
5.472 7.63886e-05 31.4959 269960 403.15
5.473 7.63793e-05 31.4998 269960 403.15
5.474 7.63701e-05 31.5036 269959 403.15
5.475 7.63608e-05 31.5075 269959 403.15
5.476 7.63514e-05 31.5113 269959 403.15
5.477 7.63421e-05 31.5152 269959 403.15
5.478 7.63327e-05 31.5191 269959 403.15
5.479 7.63233e-05 31.523 269959 403.15
5.48 7.63139e-05 31.5269 269958 403.15
5.481 7.63045e-05 31.5308 269958 403.15
5.482 7.62951e-05 31.5347 269958 403.15
5.483 7.62856e-05 31.5386 269958 403.15
5.484 7.62761e-05 31.5426 269958 403.15
5.485 7.62666e-05 31.5465 269957 403.15
5.486 7.62571e-05 31.5505 269957 403.15
5.487 7.62475e-05 31.5544 269957 403.15
5.488 7.62379e-05 31.5584 269957 403.15
5.489 7.62283e-05 31.5624 269957 403.15
5.49 7.62187e-05 31.5664 269956 403.15
5.491 7.62091e-05 31.5704 269956 403.15
5.492 7.61994e-05 31.5744 269956 403.15
