[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.229 7.69001e-05 31.2868 269953 403.13
0.23 7.6893e-05 31.2897 269952 403.13
0.231 7.68859e-05 31.2926 269952 403.13
0.232 7.68788e-05 31.2955 269952 403.129
0.233 7.68717e-05 31.2984 269952 403.129
0.234 7.68646e-05 31.3013 269951 403.129
0.235 7.68575e-05 31.3042 269951 403.129
0.236 7.68505e-05 31.3071 269951 403.129
0.237 7.68434e-05 31.31 269951 403.129
0.238 7.68363e-05 31.313 269951 403.129
0.239 7.68292e-05 31.3159 269950 403.129
0.24 7.68221e-05 31.3188 269950 403.129
0.241 7.6815e-05 31.3217 269950 403.129
0.242 7.68079e-05 31.3246 269950 403.129
0.243 7.68008e-05 31.3275 269950 403.128
0.244 7.67937e-05 31.3304 269949 403.128
0.245 7.67867e-05 31.3333 269949 403.128
0.246 7.67796e-05 31.3362 269949 403.128
0.247 7.67725e-05 31.3391 269949 403.128
0.248 7.67654e-05 31.342 269949 403.128
0.249 7.67583e-05 31.3449 269948 403.128
0.25 7.67512e-05 31.3479 269948 403.128
0.251 7.67441e-05 31.3508 269948 403.128
0.252 7.67371e-05 31.3537 269948 403.128
0.253 7.673e-05 31.3566 269947 403.128
0.254 7.67229e-05 31.3595 269947 403.127
0.255 7.67158e-05 31.3624 269947 403.127
0.256 7.67087e-05 31.3653 269947 403.127
0.257 7.67017e-05 31.3682 269947 403.127
0.258 7.66946e-05 31.3712 269946 403.127
0.259 7.66875e-05 31.3741 269946 403.127
0.26 7.66804e-05 31.377 269946 403.127
0.261 7.66733e-05 31.3799 269946 403.127
0.262 7.66663e-05 31.3828 269946 403.127
0.263 7.66592e-05 31.3857 269945 403.127
0.264 7.66521e-05 31.3886 269945 403.127
0.265 7.6645e-05 31.3915 269945 403.126
0.266 7.6638e-05 31.3945 269945 403.126
0.267 7.66309e-05 31.3974 269944 403.126
0.268 7.66238e-05 31.4003 269944 403.126
0.269 7.66167e-05 31.4032 269944 403.126
0.27 7.66097e-05 31.4061 269944 403.126
0.271 7.66026e-05 31.409 269944 403.126
0.272 7.65955e-05 31.412 269943 403.126
0.273 7.65885e-05 31.4149 269943 403.126
0.274 7.65814e-05 31.4178 269943 403.126
0.275 7.65743e-05 31.4207 269943 403.126
